reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
"Transport, passenger car, diesel hybrid, Compact, 2018, EURO-6c",2,1,True,0.008624468583598487,04-transport,trivial-template
"Hot rolling, steel",2,2,False,,08-materials,variable-mix
"Transport, passenger car, diesel hybrid, Compact, 2013, EURO-5",2,1,True,0.008701936105516743,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Compact, 2013, EURO-5",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Compact, 2018, EURO-6c",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Compact, 2019, EURO-6d-TEMP",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Compact, 2021, EURO-6d",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large SUV, 2003, EURO-3",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large SUV, 2008, EURO-4",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large SUV, 2013, EURO-5",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large SUV, 2016, EURO-6ab",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large SUV, 2018, EURO-6c",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large SUV, 2019, EURO-6d-TEMP",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large SUV, 2021, EURO-6d",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large, 2003, EURO-3",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large, 2008, EURO-4",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large, 2013, EURO-5",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large, 2016, EURO-6ab",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Large, 2018, EURO-6c",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Compact, 2016, EURO-6ab",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Compact, 2008, EURO-4",2,2,False,,04-transport,variable-mix
"Transport, passenger car, compressed gas, 100% biomethane, Large, 2021, EURO-6d",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Compact, 2003, EURO-3",2,2,False,,04-transport,variable-mix
"Transport, freight, lorry, diesel, 7.5t gross weight, 2010, EURO-V, regional delivery",2,1,True,0.33034379671150965,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, 2010, EURO-V, urban delivery",2,1,True,0.33034379671150965,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, 2020, EURO-VI, long haul",2,1,True,0.7155797101449275,04-transport,template-with-variation
